scope,mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
all,bidirectional,src/modules/sdlog2,0.03376522684435888,0.0022916648699076044,5,0.004678975893515456,23,1,0.03376522684435888,0.015812501877107095,21
all,bidirectional,src/modules/navigator,0.13277003372880988,0.004310167330694923,5,0.01839844850034299,16,4,0.03319250843220247,0.015544293669621295,22
all,bidirectional,src/modules/attitude_estimator_q,0.05453987148500835,0.004044533865395197,5,0.007557797407672964,22,2,0.027269935742504175,0.012770709703938456,23
all,bidirectional,src/drivers/batt_smbus,0.022197612164215806,0.0015679935742043476,5,0.0030760075354661315,25,1,0.022197612164215806,0.010395303595379188,24
all,bidirectional,src/modules/syslink,0.022197612164215806,0.0015679935742043476,5,0.0030760075354661315,25,1,0.022197612164215806,0.010395303595379188,24
all,bidirectional,src/modules/camera_feedback,0.020774644640649476,0.0017794939407400768,5,0.0028788215141575084,26,1,0.020774644640649476,0.009728917530769817,25
all,bidirectional,src/drivers/blinkm,0.023462972713427427,0.0015308081635293275,5,0.003251353358956602,24,2,0.011731486356713713,0.005493940582477794,26
all,bidirectional,src/modules/gpio_led,0.023462972713427427,0.0015308081635293275,5,0.003251353358956602,24,2,0.011731486356713713,0.005493940582477794,26
all,bidirectional,src/drivers/distance_sensor,0.00375294893600544,0.0001701902662656817,5,0.0005200604065865371,27,1,0.00375294893600544,0.0017575333454390094,27
all,bidirectional,src/drivers/px4flow,0.00375294893600544,0.0001701902662656817,5,0.0005200604065865371,27,1,0.00375294893600544,0.0017575333454390094,27
all,bidirectional,src/modules/logger,0.001265360549211623,7.288141118511696e-05,5,0.00017534582349047095,28,1,0.001265360549211623,0.0005925775695764016,28
