run_id,mutation_id,ground_truth_module,module,score,rank,detected,ranking_available,ranking_protocol
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/sdlog2,0.0,49,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/sensors,0.0,50,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/simulator,0.0,51,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/syslink,0.0,52,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/platforms/qurt/tests/muorb,0.0,53,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/templates/module,0.0,54,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/telemetry,0.007808625159041215,1,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/examples/uuv_example_app,0.005834942208018467,2,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/examples/px4_simple_app,0.005593136027608852,3,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/attitude_estimator_q,0.005593136027608852,4,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/sdlog2,0.004918536744886128,5,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/platforms/qurt/tests/muorb,0.004918536744886128,6,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/templates/module,0.004918536744886128,7,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/vtol_att_control,0.004376276047191705,8,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/landing_target_estimator,0.004284109583290118,9,False,True,onset_conditioned
