seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate,consistency_lift,hit_rate_lift
1,correct_predictions,1,3284,0.3879415347137637,0.3879415347137637,0.30262437936104586,0.16291108404384896,0.16291108404384894,0.22503045066991473,0.22503045066991476
1,External Position,1,1707,0.03690685413005272,0.03690685413005272,0.056728807623401156,0.03448275862068966,0.03448275862068961,0.00242409550936306,0.0024240955093631084
1,Global Position,1,641,0.8096723868954758,0.8096723868954758,0.4972675339319232,0.19540229885057478,0.1954022988505747,0.614270088044901,0.6142700880449011
1,Altitude,1,571,0.23467600700525393,0.23467600700525393,0.21361871661273493,0.16091954022988508,0.16091954022988508,0.07375646677536885,0.07375646677536885
1,Mechanical/Electrical,1,683,0.8784773060029283,0.8784773060029283,0.7688678834585624,0.49425287356321845,0.49425287356321845,0.38422443243970983,0.38422443243970983
1,all,3,3602,0.34952803997779014,0.5258189894503054,0.29502987658289237,0.17034278529807834,0.3653705863730332,0.1791852546797118,0.16044840307727215
1,correct_predictions,3,3284,0.36723507917174175,0.5365408038976858,0.30262437936104586,0.16291108404384896,0.3512170241753526,0.2043239951278928,0.18532377972233316
1,External Position,3,1707,0.06424526459675844,0.19273579379027533,0.056728807623401156,0.03448275862068966,0.10105193641209488,0.029762505976068783,0.09168385737818045
1,Global Position,3,641,0.6531461258450338,0.9563182527301092,0.4972675339319232,0.19540229885057478,0.483560545308741,0.45774382699445904,0.4727577074213682
1,Altitude,3,571,0.20665499124343256,0.521891418563923,0.21361871661273493,0.16091954022988508,0.41321760460399076,0.04573545101354748,0.1086738139599322
1,Mechanical/Electrical,3,683,0.8970229380185456,0.9575402635431918,0.7688678834585624,0.49425287356321845,0.875050709939148,0.40277006445532715,0.08248955360404375
1,all,5,3602,0.3455857856746252,0.7073847862298723,0.29502987658289237,0.17034278529807834,0.4757446622227997,0.1752430003765469,0.23164012400707262
1,correct_predictions,5,3284,0.3610231425091352,0.7161997563946407,0.30262437936104586,0.16291108404384896,0.45925581666341897,0.19811205846528623,0.25694393973122176
1,External Position,5,1707,0.09080257762155829,0.44932630345635616,0.056728807623401156,0.03448275862068966,0.16448889098542385,0.056319819000868625,0.2848374124709323
1,Global Position,5,641,0.5762870514820593,0.9875195007800313,0.4972675339319232,0.19540229885057478,0.6724476092018435,0.38088475263148447,0.3150718915781877
1,Altitude,5,571,0.2528896672504378,0.8248686514886164,0.21361871661273493,0.16091954022988508,0.5934941236714394,0.09197012702055274,0.23137452781717704
1,Mechanical/Electrical,5,683,0.8433382137628112,0.9912152269399708,0.7688678834585624,0.49425287356321845,0.9706086007315265,0.3490853401995927,0.020606626208444223
1,all,10,3602,0.29614103275957804,0.8378678511937813,0.29502987658289237,0.17034278529807834,0.6305642277774868,0.1257982474614997,0.2073036234162945
1,correct_predictions,10,3284,0.30197929354445796,0.8419610231425091,0.30262437936104586,0.16291108404384896,0.6135508148737554,0.139068209500609,0.2284102082687537
1,External Position,10,1707,0.0757469244288225,0.6631517281780902,0.056728807623401156,0.03448275862068966,0.3098731072220388,0.04126416580813284,0.3532786209560514
1,Global Position,10,641,0.43042121684867396,1.0,0.4972675339319232,0.19540229885057478,0.9008424868902108,0.23501891799809918,0.09915751310978915
1,Altitude,10,571,0.2448336252189142,0.9842381786339754,0.21361871661273493,0.16091954022988508,0.8446979253764334,0.08391408498902911,0.13954025325754205
1,Mechanical/Electrical,10,683,0.7638360175695461,1.0,0.7688678834585624,0.49425287356321845,0.9993798022546388,0.26958314400632766,0.0006201977453611507
2,all,1,3602,0.3889505830094392,0.3889505830094392,0.30440210905829657,0.17034278529807834,0.1703427852980783,0.21860779771136085,0.21860779771136088
2,correct_predictions,1,3278,0.4139719341061623,0.4139719341061623,0.31266442975860187,0.16268680790782158,0.16268680790782156,0.2512851261983407,0.25128512619834076
2,External Position,1,1707,0.04569420035149385,0.04569420035149385,0.06559164443578769,0.03448275862068966,0.03448275862068961,0.01121144173080419,0.011211441730804239
2,Global Position,1,641,0.9157566302652106,0.9157566302652106,0.5214905909067055,0.19540229885057478,0.1954022988505747,0.7203543314146358,0.7203543314146359
2,Altitude,1,571,0.23992994746059546,0.23992994746059546,0.2146777518892431,0.16091954022988508,0.16091954022988508,0.07901040723071037,0.07901040723071037
2,Mechanical/Electrical,1,683,0.87701317715959,0.87701317715959,0.7725256144599395,0.49425287356321845,0.49425287356321845,0.3827603035963716,0.3827603035963716
2,all,3,3602,0.38534147695724597,0.603553581343698,0.30440210905829657,0.17034278529807834,0.3653705863730332,0.21499869165916763,0.23818299497066475
2,correct_predictions,3,3278,0.4068537726255847,0.6211104331909701,0.31266442975860187,0.16268680790782158,0.350572403449217,0.2441669647177631,0.27053802974175317
2,External Position,3,1707,0.1156024214020699,0.3462214411247803,0.06559164443578769,0.03448275862068966,0.10105193641209488,0.08111966278138025,0.24516950471268545
