seed,scope,level,rank,name,mean_abs_shap,scope_windows,topic,feature_count
1,Mechanical/Electrical,topic,3,vehicle_attitude,0.9357064541912689,683,vehicle_attitude,126
1,Mechanical/Electrical,topic,4,vehicle_local_position,0.5825028969084316,683,vehicle_local_position,234
1,Mechanical/Electrical,topic,5,sensor_combined,0.5764588138431992,683,sensor_combined,108
1,Mechanical/Electrical,topic,6,battery_status,0.4425264304280471,683,battery_status,108
1,Mechanical/Electrical,topic,7,estimator_status,0.40669127314341036,683,estimator_status,162
1,Mechanical/Electrical,topic,8,vehicle_attitude_setpoint,0.32082868373715023,683,vehicle_attitude_setpoint,54
1,Mechanical/Electrical,topic,9,ekf2_innovations,0.2946388590029519,683,ekf2_innovations,144
1,Mechanical/Electrical,topic,10,manual_control_setpoint,0.28329977235291315,683,manual_control_setpoint,72
1,Mechanical/Electrical,topic,11,cpuload,0.18366773296696282,683,cpuload,36
1,Mechanical/Electrical,topic,12,vehicle_rates_setpoint,0.12437785991962208,683,vehicle_rates_setpoint,54
1,Mechanical/Electrical,topic,13,rate_ctrl_status,0.07134537723806661,683,rate_ctrl_status,54
1,Mechanical/Electrical,topic,14,sensor_preflight,0.06505610571395695,683,sensor_preflight,36
1,Mechanical/Electrical,topic,15,distance_sensor,0.04663950512510857,683,distance_sensor,18
1,Mechanical/Electrical,topic,16,vehicle_vision_position,0.0361408092110185,683,vehicle_vision_position,54
1,Mechanical/Electrical,topic,17,vehicle_land_detected,0.02107040606237478,683,vehicle_land_detected,54
1,Mechanical/Electrical,topic,18,vehicle_status,0.005743910950935123,683,vehicle_status,36
2,all,topic,1,vehicle_local_position,1.1414640199640187,3602,vehicle_local_position,234
2,all,topic,2,estimator_status,0.9528032121185154,3602,estimator_status,162
2,all,topic,3,actuator_controls_0,0.8234513231622017,3602,actuator_controls_0,72
2,all,topic,4,actuator_outputs,0.5696133035268351,3602,actuator_outputs,144
2,all,topic,5,manual_control_setpoint,0.5175727734397999,3602,manual_control_setpoint,72
2,all,topic,6,ekf2_innovations,0.50354395437482,3602,ekf2_innovations,144
2,all,topic,7,vehicle_attitude,0.2865778594299735,3602,vehicle_attitude,126
2,all,topic,8,cpuload,0.28445923576465815,3602,cpuload,36
2,all,topic,9,vehicle_vision_position,0.21131215317611335,3602,vehicle_vision_position,54
2,all,topic,10,vehicle_attitude_setpoint,0.21079100180418744,3602,vehicle_attitude_setpoint,54
2,all,topic,11,sensor_combined,0.2061195088874036,3602,sensor_combined,108
2,all,topic,12,battery_status,0.20509531885554289,3602,battery_status,108
2,all,topic,13,rate_ctrl_status,0.10339030197801702,3602,rate_ctrl_status,54
2,all,topic,14,sensor_preflight,0.10014896120056468,3602,sensor_preflight,36
2,all,topic,15,vehicle_rates_setpoint,0.08934511487954108,3602,vehicle_rates_setpoint,54
2,all,topic,16,vehicle_status,0.026158120348754213,3602,vehicle_status,36
2,all,topic,17,distance_sensor,0.024882540629440612,3602,distance_sensor,18
2,all,topic,18,vehicle_land_detected,0.015334547306712987,3602,vehicle_land_detected,54
2,External Position,topic,1,vehicle_local_position,1.5960063291905335,1707,vehicle_local_position,234
2,External Position,topic,2,estimator_status,0.7265907110419748,1707,estimator_status,162
2,External Position,topic,3,actuator_outputs,0.604225520043106,1707,actuator_outputs,144
2,External Position,topic,4,actuator_controls_0,0.5523782035726978,1707,actuator_controls_0,72
2,External Position,topic,5,ekf2_innovations,0.4214531891060751,1707,ekf2_innovations,144
2,External Position,topic,6,vehicle_vision_position,0.37499368736723493,1707,vehicle_vision_position,54
2,External Position,topic,7,manual_control_setpoint,0.3440405846001747,1707,manual_control_setpoint,72
2,External Position,topic,8,cpuload,0.20859446981927432,1707,cpuload,36
2,External Position,topic,9,vehicle_attitude,0.19970836120954774,1707,vehicle_attitude,126
2,External Position,topic,10,vehicle_attitude_setpoint,0.17851493190456305,1707,vehicle_attitude_setpoint,54
2,External Position,topic,11,battery_status,0.1657793196367979,1707,battery_status,108
2,External Position,topic,12,sensor_combined,0.1567338592025914,1707,sensor_combined,108
2,External Position,topic,13,rate_ctrl_status,0.11378227574792257,1707,rate_ctrl_status,54
2,External Position,topic,14,sensor_preflight,0.07181810586072745,1707,sensor_preflight,36
2,External Position,topic,15,vehicle_rates_setpoint,0.047453025663380506,1707,vehicle_rates_setpoint,54
2,External Position,topic,16,vehicle_status,0.038652305017796804,1707,vehicle_status,36
2,External Position,topic,17,vehicle_land_detected,0.020936112990856508,1707,vehicle_land_detected,54
2,External Position,topic,18,distance_sensor,0.009766588887012389,1707,distance_sensor,18
2,Global Position,topic,1,manual_control_setpoint,1.5216370557797811,641,manual_control_setpoint,72
2,Global Position,topic,2,estimator_status,1.2499596164085482,641,estimator_status,162
2,Global Position,topic,3,vehicle_local_position,0.846776176712733,641,vehicle_local_position,234
2,Global Position,topic,4,cpuload,0.7872838238498288,641,cpuload,36
2,Global Position,topic,5,actuator_controls_0,0.46597602538088545,641,actuator_controls_0,72
2,Global Position,topic,6,ekf2_innovations,0.38104360163227413,641,ekf2_innovations,144
2,Global Position,topic,7,vehicle_attitude_setpoint,0.32319981685889604,641,vehicle_attitude_setpoint,54
2,Global Position,topic,8,battery_status,0.23615582793300902,641,battery_status,108
