group,run_id,topic,sustained_max,evidence
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,sensor_combined,33.55592727661133,0.29518107573191327
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,sensor_preflight,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,vehicle_attitude,52.31889486312866,11.900211522976557
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,vehicle_attitude_setpoint,1.569383144378662,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,vehicle_land_detected,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,vehicle_local_position,26.172810196876526,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,vehicle_rates_setpoint,12.500665187835693,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,vehicle_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,vehicle_vision_position,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,actuator_controls_0,2.74137144908309,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,actuator_outputs,4.955475330352783,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,battery_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,cpuload,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,distance_sensor,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,ekf2_innovations,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,estimator_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,manual_control_setpoint,0.8115386962890625,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,rate_ctrl_status,0.08435487747192383,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,sensor_combined,17.98987865447998,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,sensor_preflight,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,vehicle_attitude,79.52595233917236,18.017357838781255
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,vehicle_attitude_setpoint,7.170085906982422,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,vehicle_land_detected,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,vehicle_local_position,32.10817575454712,2.1939586338243986
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,vehicle_rates_setpoint,40.0813102722168,4.331607818603516
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,vehicle_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,vehicle_vision_position,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,actuator_controls_0,2.243721475354161,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,actuator_outputs,6.093149185180664,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,battery_status,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,cpuload,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,distance_sensor,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,ekf2_innovations,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,estimator_status,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,manual_control_setpoint,7.510476112365723,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,rate_ctrl_status,0.0455784797668457,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,sensor_combined,25.02387046813965,0.11826550960540771
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,sensor_preflight,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,vehicle_attitude,125.06570816040039,10.73397246748209
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,vehicle_attitude_setpoint,8.485031127929688,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,vehicle_land_detected,171.76484525203705,127.13159070536494
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,vehicle_local_position,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,vehicle_rates_setpoint,12.440853118896484,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,vehicle_status,0.0,0.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,vehicle_vision_position,0.0,0.0
reference,land_detector_state_inversion__2018-12-20__07_47_50__fault,actuator_controls_0,0.45203221620264383,0.0
