gate,exposure,run_id,source_log,condition,mutation_id,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,frozen_rank,top1,top3,top5,mrr
optimized_q90_w15,post30_common,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,True,True,False,104.81679199999999,74.81679199999999,,0,0,0,0.0
optimized_q90_w15,post30_common,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,True,True,False,30.417917,0.4179169999999992,,0,0,0,0.0
optimized_q90_w15,post30_common,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,True,True,False,30.418491,0.4184909999999995,,0,0,0,0.0
optimized_q90_w15,post30_common,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,True,True,False,42.420496,12.420496,,0,0,0,0.0
optimized_q90_w15,post30_common,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,inav_local_z_freeze,True,True,False,40.82951,10.829509999999999,,0,0,0,0.0
optimized_q90_w15,post30_common,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,inav_local_z_freeze,True,True,False,87.22027200000001,57.22027200000001,,0,0,0,0.0
optimized_q90_w15,post30_common,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,inav_local_z_freeze,True,True,False,139.21705999999998,109.21705999999998,,0,0,0,0.0
optimized_q90_w15,post30_common,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,land_detector_state_inversion,True,True,False,40.831278999999995,10.831278999999995,,0,0,0,0.0
optimized_q90_w15,post30_common,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,land_detector_state_inversion,False,False,False,,,,0,0,0,0.0
optimized_q90_w15,post30_common,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,land_detector_state_inversion,True,True,False,48.016244,18.016244,,0,0,0,0.0
within_flight,historical,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,commander_nav_state_override,False,False,False,,,1.0,0,0,0,0.0
within_flight,historical,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,commander_nav_state_override,False,False,False,,,1.0,0,0,0,0.0
