run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
land_detector_state_inversion__2019-03-06__08_02_26__baseline,rate_ctrl_status,3055,3055,1.293296,97.842928,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,sensor_combined,24110,24110,1.305056,97.846657,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,sensor_preflight,6,5,96.855565,97.65974,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,system_power,194,194,0.840369,97.78037,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_attitude,3054,3054,1.293689,97.835227,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,951,951,1.254309,97.79955,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_land_detected,4079,4079,0.983497,111.371613,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_local_position,951,951,1.253974,97.787037,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,3050,3050,1.325278,97.834821,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_status,99,99,0.990312,96.848365,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_status_flags,99,99,0.990325,96.848397,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_vision_position,960,960,1.339805,97.831005,
