mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
bidirectional,src/drivers/snapdragon_pwm_out,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28,1,0.05869059406140905,0.02596791564750384,8
bidirectional,src/drivers/tap_esc,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28,1,0.05869059406140905,0.02596791564750384,8
bidirectional,src/modules/uavcan,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28,1,0.05869059406140905,0.02596791564750384,8
bidirectional,src/modules/landing_target_estimator,0.10898583309765444,0.005033612912462522,5,0.015102581367191956,20,2,0.05449291654882722,0.024110634471441884,9
bidirectional,src/modules/wind_estimator,0.10898583309765444,0.005033612912462522,5,0.015102581367191956,20,2,0.05449291654882722,0.024110634471441884,9
bidirectional,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.161869192466231,0.007273627618809219,5,0.02243082959114914,12,3,0.05395639748874367,0.023873249215450948,10
bidirectional,src/modules/sensors,0.25995297271306406,0.012716264298379309,5,0.036022672034123064,5,5,0.05199059454261281,0.023003470916200332,11
bidirectional,src/platforms/posix/drivers/df_ltc2946_wrapper,0.10317859840482195,0.004137038671833221,5,0.014297850770800613,23,2,0.051589299202410975,0.0228259159994245,12
bidirectional,src/modules/gnd_pos_control,0.1031039712824636,0.0025910353873117914,5,0.014287509406647289,24,2,0.0515519856412318,0.022809406447515806,13
bidirectional,src/modules/vtol_att_control,0.3196032096371375,0.011652194372743585,5,0.044288632215488004,4,7,0.04565760137673393,0.020201409786001358,14
bidirectional,src/drivers/vmount,0.08667452093068918,0.0035933850642778753,5,0.012010817989941922,26,2,0.04333726046534459,0.019174764579490664,15
bidirectional,src/examples/uuv_example_app,0.12268313555376323,0.005679236322503274,5,0.017000668659593203,18,3,0.040894378517921076,0.01809390054391575,16
bidirectional,src/modules/mavlink,0.3645651139576345,0.01410327244001277,5,0.05051917428801376,3,10,0.036456511395763454,0.016130346401620994,17
bidirectional,src/modules/fw_pos_control_l1,0.18208434544586846,0.006969759072311112,5,0.025232120218084565,9,5,0.036416869089173694,0.01611280648589756,18
