dataset,group,run_id,topic,shared_fraction,shared_packets_used
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_attitude,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_attitude_setpoint,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_land_detected,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_local_position,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_rates_setpoint,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_status,0.0,False
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_vision_position,0.9984059511158342,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,actuator_controls_0,0.9695378151260504,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,actuator_outputs,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,battery_status,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,cpuload,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,distance_sensor,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,ekf2_innovations,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,estimator_status,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,manual_control_setpoint,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,rate_ctrl_status,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,sensor_combined,0.9999585062240663,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,sensor_preflight,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_attitude,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_attitude_setpoint,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_land_detected,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_local_position,1.0,True
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_rates_setpoint,1.0,True
