run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_attitude_setpoint,951,951,1.254309,97.79955,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_land_detected,97,97,1.02679,97.444314,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_local_position,951,951,1.253974,97.787037,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_rates_setpoint,3049,3049,1.35328,97.834821,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_status,99,99,0.990312,96.848365,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_status_flags,99,99,0.990325,96.848397,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_vision_position,960,960,1.339805,97.831005,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,actuator_controls_0,667,667,1.226991,68.814917,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,actuator_outputs,666,666,1.197301,68.793244,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,battery_status,136,136,0.982618,68.771174,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,cpuload,68,68,1.097674,68.546529,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,distance_sensor,664,664,1.251938,68.75453,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,ekf2_innovations,333,333,1.095124,68.679631,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,estimator_status,334,334,1.095124,68.691169,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,manual_control_setpoint,333,333,1.088498,68.684376,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,rate_ctrl_status,2125,2125,1.28694,68.811007,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,sensor_combined,16838,16838,1.314742,68.814742,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,sensor_preflight,6,5,67.815327,68.624025,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,system_power,136,136,0.989684,68.769684,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_attitude,2058,2058,1.31926,68.799167,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,664,664,1.299839,68.751724,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_land_detected,70,70,1.027629,67.816883,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_local_position,790,790,2.978898,83.047301,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,2122,2122,1.350872,68.794885,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_status,73,72,0.996877,68.814609,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_status_flags,72,72,0.996891,68.816092,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_vision_position,1307,1307,1.344589,68.775784,
inav_local_z_freeze__2019-01-18__08_39_38__fault,actuator_controls_0,667,667,1.226991,68.814917,
inav_local_z_freeze__2019-01-18__08_39_38__fault,actuator_outputs,666,666,1.197301,68.793244,
inav_local_z_freeze__2019-01-18__08_39_38__fault,battery_status,136,136,0.982618,68.771174,
