pair_id,module,score,rank
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/examples/uuv_example_app,0.8762117033815481,7.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/attitude_estimator_q,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/camera_feedback,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/commander,822.2154224122174,1.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/ekf2,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/events,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/fw_att_control,0.35822079085760045,9.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/fw_pos_control_l1,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/gnd_att_control,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/gnd_pos_control,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/gpio_led,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/land_detector,8.941332103681598,3.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/landing_target_estimator,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/load_mon,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/logger,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/mavlink,10.846831045000288,2.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/mc_att_control,0.35822079085760045,9.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/mc_pos_control,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/navigator,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/position_estimator_inav,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/replay,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/sdlog2,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/sensors,1.029287237937142,4.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/simulator,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/syslink,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/uavcan,0.058454620986941055,19.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/vtol_att_control,0.8762117033815481,7.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/modules/wind_estimator,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.058454620986941055,19.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_isl29501_wrapper,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_ltc2946_wrapper,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_trone_wrapper,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/platforms/qurt/fc_addon/uart_esc,0.058454620986941055,19.0
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/platforms/qurt/tests/muorb,0.0,
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,src/templates/module,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/batt_smbus,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/blinkm,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/camera_trigger,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/distance_sensor,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/linux_pwm_out,0.08918392351694852,22.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/mkblctrl,0.08918392351694852,22.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/pwm_out_sim,0.08918392351694852,22.0
